date,suite,bench,elapsed,iterations,ops

2016-05-16 20:45:19,"emit","EventEmitter",789.707312,2378707,3012137
2016-05-16 20:45:19,"emit","EventEmitter2",894.472150,1029413,1150861
2016-05-16 20:45:19,"emit","EventEmitter3",853.535824,2276619,2667280
2016-05-16 20:45:19,"emit","JS-Signals",908.198047,133590,147093
2016-05-16 20:45:19,"emit","MiniSignals",727.473449,4697244,6456928
2016-05-16 20:45:19,"emit","signal-emitter",569.602904,90879,159548
2016-05-16 20:45:19,"emit","signal-lite",744.085228,4633819,6227538
2016-05-16 20:45:19,"*emit*","Theoretical max",711.808759,8951410,12575583

2016-05-16 20:45:42,"emit one parameter","EventEmitter",707.855633,8931767,12618063
2016-05-16 20:45:42,"emit one parameter","EventEmitter2",733.573113,4197305,5721727
2016-05-16 20:45:42,"emit one parameter","EventEmitter3",602.860428,9157863,15190685
2016-05-16 20:45:42,"emit one parameter","d3-dispatch",717.661541,3339535,4653357
2016-05-16 20:45:42,"emit one parameter","namespace-emitter",823.294733,500196,607554
2016-05-16 20:45:42,"emit one parameter","ReactiveProperty",772.171289,13693680,17733993
2016-05-16 20:45:42,"emit one parameter","observable",782.489811,1246036,1592399
2016-05-16 20:45:42,"emit one parameter","observ",826.696000,6062003,7332808
2016-05-16 20:45:42,"emit one parameter","RXJS",681.187969,3333690,4893936
2016-05-16 20:45:42,"emit one parameter","JS-Signals",874.700410,573929,656144
2016-05-16 20:45:42,"emit one parameter","MiniSignals",700.863379,15296530,21825266
2016-05-16 20:45:42,"emit one parameter","signal-emitter",845.891550,529405,625854
2016-05-16 20:45:42,"emit one parameter","event-signal",719.933115,5124526,7118058
2016-05-16 20:45:42,"emit one parameter","signal-lite",670.166136,13863813,20687129
2016-05-16 20:45:42,"emit one parameter","minivents",542.583488,288507,531728
2016-05-16 20:45:42,"*emit one parameter*","Theoretical max",695.779241,24347632,34993329

2016-05-16 20:46:17,"init","EventEmitter",523.242610,19963280,38153009
2016-05-16 20:46:17,"init","EventEmitter2",603.551588,24705494,40933525
2016-05-16 20:46:17,"init","EventEmitter3",598.380006,55963733,93525406
2016-05-16 20:46:17,"init","ReactiveProperty",769.142296,1424510,1852076
2016-05-16 20:46:17,"init","JS-Signals",569.497581,1308178,2297074
2016-05-16 20:46:17,"init","MiniSignals",917.375516,45493434,49590853
2016-05-16 20:46:17,"*init*","Theoretical max",594.698168,53177162,89418742

2016-05-16 20:46:37,"add-remove","EventEmitter",683.037621,3361519,4921426
2016-05-16 20:46:37,"add-remove","EventEmitter2",719.998316,1008219,1400307
2016-05-16 20:46:37,"add-remove","EventEmitter3",892.805870,1820408,2038974
2016-05-16 20:46:37,"add-remove","ReactiveProperty",720.549658,2430648,3373325
2016-05-16 20:46:37,"add-remove","JS-Signals",859.366492,645725,751397
2016-05-16 20:46:37,"add-remove","MiniSignals",564.116417,10560687,18720758

2016-05-16 20:46:56,"emit with context","EventEmitter",831.453525,2635250,3169450
2016-05-16 20:46:56,"emit with context","EventEmitter2",828.951471,2069048,2495982
2016-05-16 20:46:56,"emit with context","EventEmitter3",634.763653,10602128,16702481
2016-05-16 20:46:56,"emit with context","RXJS",795.350575,1675452,2106558
2016-05-16 20:46:56,"emit with context","ReactiveProperty",808.839927,2641456,3265734
2016-05-16 20:46:56,"emit with context","JS-Signals",808.879136,512578,633689
2016-05-16 20:46:56,"emit with context","MiniSignals",792.913836,17071506,21530090
2016-05-16 20:46:56,"emit with context","signal-emitter",515.876000,314561,609761
2016-05-16 20:46:56,"emit with context","event-signal",726.489470,4858419,6687528
2016-05-16 20:46:56,"emit with context","signal-lite",635.608864,15331762,24121379
2016-05-16 20:46:56,"*emit with context*","Theoretical max",813.925713,3584430,4403879

2016-05-16 20:47:23,"emit with bound function","EventEmitter",696.656951,1990265,2856880
2016-05-16 20:47:23,"emit with bound function","EventEmitter2",836.667517,2113956,2526638
2016-05-16 20:47:23,"emit with bound function","EventEmitter3",800.948946,2800819,3496876
2016-05-16 20:47:23,"emit with bound function","RXJS",798.270823,1785391,2236573
2016-05-16 20:47:23,"emit with bound function","ReactiveProperty",802.100458,2729509,3402952
2016-05-16 20:47:23,"emit with bound function","JS-Signals",905.078786,515137,569163
2016-05-16 20:47:23,"emit with bound function","MiniSignals",860.592544,2119252,2462550
2016-05-16 20:47:23,"emit with bound function","signal-emitter",909.678671,549384,603932
2016-05-16 20:47:23,"emit with bound function","event-signal",874.903056,2393193,2735381
2016-05-16 20:47:23,"emit with bound function","signal-lite",842.692210,1730627,2053688
2016-05-16 20:47:23,"*emit with bound function*","Theoretical max",831.184635,3792924,4563275

2016-05-16 20:47:52,"emit many listeners","EventEmitter",766.303522,3376569,4406308
2016-05-16 20:47:52,"emit many listeners","EventEmitter2",736.702453,2168897,2944061
2016-05-16 20:47:52,"emit many listeners","EventEmitter3",724.981980,3372212,4651443
2016-05-16 20:47:52,"emit many listeners","RXJS",784.332752,1383097,1763406
2016-05-16 20:47:52,"emit many listeners","ReactiveProperty",813.574736,3461269,4254396
2016-05-16 20:47:52,"emit many listeners","JS-Signals",877.587072,411428,468817
2016-05-16 20:47:52,"emit many listeners","MiniSignals",764.930633,4075544,5327992
2016-05-16 20:47:52,"emit many listeners","signal-emitter",527.727542,322046,610251
2016-05-16 20:47:52,"emit many listeners","event-signal",804.397213,2767017,3439864
2016-05-16 20:47:52,"emit many listeners","signal-lite",750.319529,3922150,5227306
2016-05-16 20:47:52,"emit many listeners","minivents",639.446121,70112,109645
2016-05-16 20:47:52,"*emit many listeners*","Theoretical max",769.805424,4758837,6181870

2016-05-16 20:48:21,"emit many parameters","EventEmitter",821.715106,2189280,2664281
2016-05-16 20:48:21,"emit many parameters","EventEmitter2",819.690063,1716478,2094057
2016-05-16 20:48:21,"emit many parameters","EventEmitter3",824.378717,2326617,2822267
2016-05-16 20:48:21,"emit many parameters","JS-Signals",506.910665,134294,264926
2016-05-16 20:48:21,"emit many parameters","MiniSignals",685.829998,12814779,18685066
2016-05-16 20:48:21,"emit many parameters","signal-emitter",571.286446,214003,374598
2016-05-16 20:48:21,"emit many parameters","signal-lite",652.011430,11332543,17380896
2016-05-16 20:48:21,"emit many parameters","minivents",633.481755,99510,157084
2016-05-16 20:48:21,"*emit many parameters*","Theoretical max",694.877217,16044495,23089683

2016-05-16 20:48:44,"emit arrays","EventEmitter",751.102133,2974685,3960427
2016-05-16 20:48:44,"emit arrays","EventEmitter2",870.781786,1404874,1613348
2016-05-16 20:48:44,"emit arrays","EventEmitter3",702.992735,3722964,5295878
2016-05-16 20:48:44,"emit arrays","RXJS",761.354401,1095127,1438393
2016-05-16 20:48:44,"emit arrays","ReactiveProperty",720.587799,4661037,6468382
2016-05-16 20:48:44,"emit arrays","JS-Signals",527.507347,84191,159602
2016-05-16 20:48:44,"emit arrays","MiniSignals",692.599407,5662677,8175977
2016-05-16 20:48:44,"emit arrays","signal-emitter",586.200571,129935,221656
2016-05-16 20:48:44,"emit arrays","event-signal",936.983260,1873787,1999808
2016-05-16 20:48:44,"emit arrays","signal-lite",706.705465,5637791,7977568
2016-05-16 20:48:44,"*emit arrays*","Theoretical max",677.601846,11296202,16670855

2016-05-16 20:49:11,"emit objects","EventEmitter",741.419857,2873077,3875101
2016-05-16 20:49:11,"emit objects","EventEmitter2",827.245436,1464314,1770108
2016-05-16 20:49:11,"emit objects","EventEmitter3",703.108674,3681442,5235950
2016-05-16 20:49:11,"emit objects","RXJS",754.192547,1188716,1576144
2016-05-16 20:49:11,"emit objects","ReactiveProperty",756.044067,5079889,6719038
2016-05-16 20:49:11,"emit objects","JS-Signals",510.046266,112288,220153
2016-05-16 20:49:11,"emit objects","MiniSignals",699.411867,5519975,7892310
2016-05-16 20:49:11,"emit objects","signal-emitter",549.279840,117780,214426
2016-05-16 20:49:11,"emit objects","event-signal",801.108049,1849884,2309157
2016-05-16 20:49:11,"emit objects","signal-lite",702.600018,5065205,7209230
2016-05-16 20:49:11,"*emit objects*","Theoretical max",677.894364,9540414,14073600
